#,obj_tags,obj_count,raw_id,identifier,typ,coord1_(ICRS,J2000/2000),Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,bib,not
1,,0,(null),BD+24 4881,PM*,00 03 22.9132634688 +25 07 51.438580248,~,10.68,9.70,~,~,G5,3,0
2,,0,(null),ACO 85,ClG,00 41 36.21 -09 19 30.4,~,~,~,~,~,~,958,0
3,,0,(null),M 32,GiG,00 42 41.82480 +40 51 54.6120,9.51,9.03,8.08,~,~,~,2224,2
4,,0,(null),M 31,AGN,00 42 44.330 +41 16 07.50,4.86,4.36,3.44,~,~,~,13431,1
5,,0,(null),[OHF95] ACO 2319 355,GiC,01 53 53.0 +43 41 54,~,~,~,~,~,~,1,0
6,,0,(null),ACO 399,ClG,02 57 56.4 +13 00 59,~,~,~,~,~,~,415,0
7,,0,(null),ACO 401,ClG,02 58 50.3 +13 34 07,~,~,~,~,~,~,585,0
8,,0,(null),ACO 426,ClG,03 19 47.6 +41 30 54,~,~,~,~,~,~,2446,1
9,,0,(null),HD 52071,*,07 00 58.1463098520 +27 09 26.498507760,~,8.38,7.11,~,~,K2III,29,0
10,,0,(null),LEDA 48400,GiC,13 40 48.8 +26 04 16,~,16.28,~,~,~,~,10,0
11,,0,(null),SDSS J134053.43+262100.7,GiC,13 40 53.4348262531 +26 21 00.674359110,~,~,~,~,~,~,7,0
12,,0,(null),LEDA 48420,GiC,13 41 00.5 +26 29 09,~,~,~,~,~,~,6,0
13,,0,(null),[OHF95] ACO 1775 204,GiC,13 41 43.90 +26 17 37.7,~,~,~,~,~,~,1,0
14,,0,(null),2MASX J13414712+2627338,GiC,13 41 47.1389951784 +26 27 34.185209724,~,~,~,~,~,~,12,0
15,,0,(null),[TFM92] ACO 1775 90,GiC,13 41 50.31 +26 21 13.1,~,~,~,~,~,~,7,0
16,,0,(null),Z 161-121,rG,13 41 50.4521371440 +26 22 12.897805224,~,15.3,15.3,~,~,~,63,3
17,,0,(null),ACO 1775,ClG,13 41 50.60 +26 21 10.6,~,~,~,~,~,~,321,0
18,,0,(null),2MASX J13415183+2605568,GiC,13 41 51.8123729136 +26 05 56.715294156,~,16.25,~,~,~,~,12,0
19,,0,(null),SDSS J134202.45+262043.2,GiC,13 42 02.4581392608 +26 20 43.132015356,~,~,~,~,~,~,7,0
20,,0,(null),SDSS J134202.83+262138.2,GiC,13 42 02.8385823360 +26 21 38.130487308,~,~,~,~,~,~,6,0
21,,0,(null),2MASX J13420507+2634489,GiC,13 42 05.1300673248 +26 34 49.149957468,~,16.63,~,~,~,~,12,0
22,,0,(null),LEDA 48517,GiC,13 42 06.69629 +26 16 19.1869,~,17.17,~,~,~,~,11,0
23,,0,(null),LEDA 48518,GiC,13 42 06.83208 +26 22 14.3310,~,~,~,~,~,~,11,0
24,,0,(null),3XMM J134225.6+261243,LIN,13 42 25.6091745144 +26 12 44.659998864,~,17.02,~,~,~,~,25,0
25,,0,(null),2MASX J13422623+2632123,GiC,13 42 26.2250432904 +26 32 12.533626428,~,16.09,~,~,~,~,19,0
26,,0,(null),Z 161-126,LIN,13 42 31.8694271160 +26 29 13.947183888,~,15.4,~,~,~,~,26,0
27,,0,(null),LEDA 48556,LIN,13 42 32.6018826696 +26 13 57.798666408,~,16.67,~,~,~,~,25,0
28,,0,(null),2MASX J13424143+2628134,GiC,13 42 41.4555318360 +26 28 13.262078892,~,~,~,~,~,~,7,0
29,,0,(null),2MASX J13424201+2614234,GiC,13 42 41.9845730520 +26 14 23.131371660,~,~,~,~,~,~,17,0
30,,0,(null),2MASX J13424715+2621533,LIN,13 42 47.1711038568 +26 21 53.775926100,~,~,~,~,~,~,7,0
31,,0,(null),2MASX J13425743+2625300,GiC,13 42 57.4547925240 +26 25 30.009674712,~,~,~,~,~,~,5,0
32,,0,(null),LEDA 48588,GiC,13 42 59.0110505280 +26 15 49.202858124,~,16.65,~,~,~,~,15,0
33,,0,(null),2MASX J13430748+2603270,GiC,13 43 07.4822049864 +26 03 26.823786696,~,~,~,~,~,~,10,0
34,,0,(null),2MASX J13431580+2609530,GiC,13 43 15.8367717312 +26 09 52.780482072,~,~,~,~,~,~,9,0
35,,0,(null),2MASX J13431833+2614069,GiC,13 43 18.3174544512 +26 14 07.054823364,~,~,~,~,~,~,5,0
36,,0,(null),2MASX J15093562+0531458,GiC,15 09 35.6526631416 +05 31 45.839878932,~,~,~,~,~,~,8,0
37,,0,(null),LEDA 1288942,GiC,15 09 36.9783507960 +05 46 30.812419920,~,~,~,~,~,~,8,0
38,,0,(null),2MASX J15094567+0605138,GiC,15 09 45.7172570880 +06 05 14.282666844,~,~,~,~,~,~,14,0
39,,0,(null),2MASX J15095934+0556028,BiC,15 09 59.3623860360 +05 56 02.927543928,~,~,~,~,~,~,4,0
40,,0,(null),2MASX J15101031+0534158,GiC,15 10 10.3480341720 +05 34 16.160501892,~,~,~,~,~,~,10,0
41,,0,(null),LEDA 1286122,G,15 10 12.9864834840 +05 36 14.148515592,~,~,~,~,~,~,13,0
42,,0,(null),LEDA 1285389,G,15 10 17.3731969032 +05 33 31.049245008,~,~,~,~,~,~,11,0
43,,0,(null),3XMM J151025.5+055028,LIN,15 10 25.4445134160 +05 50 28.068281880,~,17.08,~,~,~,~,15,0
44,,0,(null),2MASX J15102652+0600238,GiC,15 10 26.5421821488 +06 00 24.018865020,~,~,~,~,~,~,8,0
45,,0,(null),LEDA 1284436,G,15 10 30.3260171472 +05 30 06.706584252,~,~,~,~,~,~,10,0
46,,0,(null),2MASX J15103238+0553296,BiC,15 10 32.3848694160 +05 53 29.658222528,~,17.20,~,~,~,~,12,0
47,,0,(null),2MASX J15103506+0539246,GiC,15 10 35.0947358904 +05 39 24.695394120,~,~,~,~,~,~,10,0
48,,0,(null),[OHF95] ACO 2029 258,GiC,15 10 38.2386889320 +05 51 13.803609636,~,~,~,~,~,~,4,0
49,,0,(null),2MASX J15103989+0539186,GiC,15 10 39.9198830448 +05 39 19.042222356,~,~,~,~,~,~,10,0
50,,0,(null),2MASX J15104042+0557216,GiC,15 10 40.4011076232 +05 57 21.785987916,~,~,~,~,~,~,7,0
51,,0,(null),2MASX J15104243+0543076,rG,15 10 42.4673127984 +05 43 07.993320924,~,17.60,~,~,~,~,14,0
52,,0,(null),2MASX J15104250+0544516,GiC,15 10 42.5150198640 +05 44 51.194424516,~,~,~,~,~,~,8,0
53,,0,(null),LEDA 1287206,GiC,15 10 43.78137 +05 40 17.5398,~,~,~,~,~,~,13,0
54,,0,(null),2MASX J15104605+0603326,GiC,15 10 46.0360824984 +06 03 32.929642332,~,~,~,~,~,~,5,0
55,,0,(null),LEDA 1287804,GiC,15 10 51.3992779416 +05 42 28.850596848,~,~,~,~,~,~,5,0
56,,0,(null),2MASX J15105275+0543296,rG,15 10 52.7819531688 +05 43 29.501293908,~,~,~,~,~,~,10,0
57,,0,(null),ACO 2029,ClG,15 10 54.2 +05 44 23,~,~,~,~,~,~,993,0
58,,0,(null),2MASX J15105509+0533316,GiC,15 10 55.0961344296 +05 33 31.769589420,~,~,~,~,~,~,10,0
59,,0,(null),IC 1101,rG,15 10 56.100 +05 44 41.19,~,15.10,~,~,~,~,161,2
60,,0,(null),2MASX J15105878+0541308,GiC,15 10 58.7637095688 +05 41 30.868728108,~,~,~,~,~,~,10,0
61,,0,(null),2MASX J15110004+0546578,rG,15 11 00.0724162464 +05 46 58.092648888,~,16.88,~,~,~,~,18,0
62,,0,(null),2MASX J15110245+0552418,GiC,15 11 02.4780027528 +05 52 41.695909320,~,17.15,~,~,~,~,8,0
63,,0,(null),2MASX J15110319+0553488,GiC,15 11 03.2287935144 +05 53 48.827123304,~,~,~,~,~,~,9,0
64,,0,(null),LEDA 1287451,G,15 11 03.7533724056 +05 41 14.286769116,~,~,~,~,~,~,12,0
65,,0,(null),LEDA 1288173,GiC,15 11 05.5241080224 +05 43 48.531518760,~,~,~,~,~,~,8,0
66,,0,(null),2MASS J15110640+0541229,Sy1,15 11 06.4093879704 +05 41 22.981612128,~,18.56,18.06,~,~,~,22,0
67,,0,(null),2MASX J15110742+0532598,GiC,15 11 07.4512812552 +05 32 59.735328396,~,~,~,~,~,~,9,0
68,,0,(null),3XMM J151107.7+055305,LIN,15 11 07.7742563160 +05 53 04.721784576,~,~,~,~,~,~,12,0
69,,0,(null),LEDA 54192,G,15 11 10.3426563432 +05 48 51.841427688,~,16.85,~,~,~,~,14,0
70,,0,(null),LEDA 1286943,G,15 11 11.9672036472 +05 39 13.770036504,~,~,~,~,~,~,12,0
71,,0,(null),2MASX J15111519+0552199,GiC,15 11 15.1900385304 +05 52 19.879271508,~,~,~,~,~,~,10,0
72,,0,(null),LEDA 1287597,G,15 11 15.9806455680 +05 41 47.957857296,~,~,~,~,~,~,10,0
73,,0,(null),2MASX J15111653+0534319,GiC,15 11 16.5589869504 +05 34 31.624059936,~,~,~,~,~,~,10,0
74,,0,(null),2MASX J15111693+0549499,GiC,15 11 16.9612422312 +05 49 49.564664832,~,~,~,~,~,~,8,0
75,,0,(null),2MASX J15111974+0552399,GiC,15 11 19.7545036392 +05 52 40.340258760,~,17.52,~,~,~,~,13,0
76,,0,(null),AGC 251891,G,15 11 19.8140376096 +05 44 40.158409992,~,~,~,~,~,~,8,0
77,,0,(null),2MASX J15112236+0549059,GiC,15 11 22.3904759160 +05 49 06.329879688,~,17.12,~,~,~,~,10,0
78,,0,(null),2MASX J15112256+0559379,GiC,15 11 22.5970545816 +05 59 37.971648528,~,~,~,~,~,~,4,0
79,,0,(null),LEDA 1289529,G,15 11 25.2829698552 +05 48 35.649800460,~,~,~,~,~,~,12,0
80,,0,(null),2MASX J15112804+0545409,GiC,15 11 28.0440159768 +05 45 40.611750300,~,~,~,~,~,~,7,0
81,,0,(null),LEDA 1285468,G,15 11 33.0767653824 +05 33 49.379609124,~,~,~,~,~,~,11,0
82,,0,(null),2MASX J15113367+0545479,Sy1,15 11 33.6955681416 +05 45 47.418310224,~,18.71,18.07,~,~,~,25,0
83,,0,(null),LEDA 1287146,G,15 11 43.1342079912 +05 40 04.656172296,~,~,~,~,~,~,7,0
84,,0,(null),2MASX J15114633+0557369,GiC,15 11 46.3167851712 +05 57 37.484218548,~,~,~,~,~,~,11,0
85,,0,(null),LEDA 1289931,GiC,15 11 46.81760 +05 49 56.5991,~,~,~,~,~,~,6,0
86,,0,(null),LEDA 1285928,GiC,15 11 49.09973 +05 35 34.1515,~,~,~,~,~,~,7,0
87,,0,(null),2MASX J15115230+0601469,GiC,15 11 52.2724845912 +06 01 47.503879788,~,~,~,~,~,~,8,0
88,,0,(null),LEDA 3841811,GiC,15 12 00.4630694544 +06 03 38.432520756,~,~,~,~,~,~,6,0
89,,0,(null),2MASX J15120409+0551321,GiC,15 12 04.0625516448 +05 51 32.878943964,~,~,~,~,~,~,9,0
90,,0,(null),[OHF95] ACO 2029 299,GiC,15 12 13.8180816408 +05 57 13.339543608,~,~,~,~,~,~,5,0
91,,0,(null),2MASX J15564902+2717126,GiC,15 56 48.9803063064 +27 17 13.065246672,~,~,~,~,~,~,5,0
92,,0,(null),2MASX J15565382+2715497,GiC,15 56 53.8346341632 +27 15 50.267351556,~,~,~,~,~,~,4,0
93,,0,(null),2MASX J15565517+2712507,GiC,15 56 55.1649459456 +27 12 50.904686088,~,~,~,~,~,~,6,0
94,,0,(null),2MASX J15565698+2702587,GiC,15 56 56.9799838776 +27 02 58.856549424,~,~,~,~,~,~,6,0
95,,0,(null),2MASX J15570056+2731027,GiC,15 57 00.5200697952 +27 31 02.939575260,~,~,~,~,~,~,5,0
96,,0,(null),2MASX J15570334+2718127,GiC,15 57 03.3759321720 +27 18 13.040919216,~,~,~,~,~,~,9,0
97,,0,(null),2MASX J15570656+2707097,GiC,15 57 06.566 +27 07 09.74,~,~,~,~,~,~,5,0
98,,0,(null),2MASX J15570890+2723147,GiC,15 57 08.8630160736 +27 23 15.056799288,~,~,~,~,~,~,5,0
99,,0,(null),2MASX J15571930+2716317,LIN,15 57 19.3032004848 +27 16 31.383910812,~,~,~,~,~,~,10,0
100,,0,(null),2MASX J15571939+2704167,GiC,15 57 19.4122190136 +27 04 16.464995256,~,~,~,~,~,~,11,0
101,,0,(null),LEDA 1804193,GiC,15 57 24.2525606472 +27 18 47.811464280,~,~,~,~,~,~,9,0
102,,0,(null),2MASX J15572469+2728177,GiC,15 57 24.6887275608 +27 28 17.731603560,~,~,~,~,~,~,6,0
103,,0,(null),2MASX J15572636+2703477,GiC,15 57 26.3952335208 +27 03 47.484951120,~,~,~,~,~,~,7,0
104,,0,(null),2MASX J15572890+2725447,GiP,15 57 28.8772205472 +27 25 45.263063712,~,~,~,~,~,~,9,0
105,,0,(null),2MASX J15573010+2718557,GiC,15 57 30.1202686752 +27 18 55.685835360,~,~,~,~,~,~,9,0
106,,0,(null),2MASX J15573280+2715057,GiC,15 57 32.8167711192 +27 15 05.721023556,~,~,~,~,~,~,8,0
107,,0,(null),LEDA 1808949,GiC,15 57 36.7817869584 +27 27 49.875426828,~,~,~,~,~,~,7,0
108,,0,(null),2MASX J15573746+2720377,GiC,15 57 37.4182942128 +27 20 37.774691268,~,~,~,~,~,~,10,0
109,,0,(null),2MASX J15573924+2706567,GiC,15 57 39.2664595464 +27 06 56.504778120,~,~,~,~,~,~,8,0
110,,0,(null),LEDA 3494995,BiC,15 57 39.9005796744 +27 22 49.157781240,~,~,~,~,~,~,9,0
111,,0,(null),2MASX J15574021+2706227,GiC,15 57 40.2122900712 +27 06 22.911540660,~,~,~,~,~,~,8,0
112,,0,(null),[OHF95] ACO 2142 266,GiC,15 57 40.3597867608 +27 15 56.112037236,~,~,~,~,~,~,8,0
113,,0,(null),2MASX J15574200+2702037,GiC,15 57 41.9669080200 +27 02 03.907619772,~,~,~,~,~,~,5,0
114,,0,(null),2MASX J15574237+2700167,LIN,15 57 42.3864077352 +27 00 16.949694024,~,~,~,~,~,~,11,0
115,,0,(null),2MASX J15574316+2713370,GiC,15 57 43.1441509392 +27 13 37.062431940,~,~,~,~,~,~,8,0
116,,0,(null),2MASX J15574349+2727530,LIN,15 57 43.5257001696 +27 27 52.888457304,~,15.72,~,~,~,~,36,0
117,,0,(null),2MASX J15574360+2716370,GiC,15 57 43.6127596344 +27 16 36.866126892,~,~,~,~,~,~,7,0
118,,0,(null),2MASX J15574453+2729250,GiC,15 57 44.5743443064 +27 29 24.832543956,~,~,~,~,~,~,7,0
119,,0,(null),[OHF95] ACO 2142 335,GiC,15 57 44.937 +27 01 20.45,~,~,~,~,~,~,3,0
120,,0,(null),2MASX J15574704+2718570,GiC,15 57 47.0315720520 +27 18 57.125728620,~,~,~,~,~,~,8,0
121,,0,(null),2MASX J15574958+2726120,GiC,15 57 49.5959696760 +27 26 11.496697296,~,~,~,~,~,~,7,0
122,,0,(null),LEDA 1803905,GiC,15 57 49.6831775280 +27 18 12.604893948,~,~,~,~,~,~,9,0
